market,openTimestamp,closeTimestamp,latency,price
"BTC","1700063085","1700063093","8","36268.755625"
"ETH","1700063106","1700063112","6","2015.15750429"
"SOL","1700063239","1700063240","1","62.7091387"
"ETH","1700063922","1700063926","4","2020.67123825"
"SOL","1700064004","1700064008","4","62.452400355"
"BTC","1700063064","1700063067","3","36277.731785714"
"SOL","1700063503","1700063509","6","62.634999866"
"ETH","1700063342","1700063344","2","2017.18655681"
"SOL","1700063611","1700063614","3","62.18571187"
"ETH","1700064189","1700064194","5","2024.76037017"
"ETH","1700063853","1700063855","2","2020.174633055"
"BTC","1700063900","1700063901","1","36379.943499995"
"BTC","1700063297","1700063301","4","36325.35125"
"ETH","1700062878","1700062879","1","2015.372349675"
"SOL","1700062930","1700062935","5","62.843563975"
"ETH","1700063744","1700063753","9","2019.74625"
"SOL","1700062744","1700062745","1","62.936896641"
"BTC","1700063745","1700063746","1","36373.685452525"
"BTC","1700063068","1700063070","2","36273.84"
"BTC","1700062861","1700062866","5","36284.847325205"
"ETH","1700063198","1700063201","3","2016.28749999"
"ETH","1700064085","1700064087","2","2020.601"
"BTC","1700064182","1700064183","1","36531.832666661"
"SOL","1700062907","1700062909","2","62.74082851"
"BTC","1700063704","1700063706","2","36339.242436785"
"ETH","1700063399","1700063403","4","2018.73470608"
"SOL","1700063428","1700063429","1","62.66577355"
"BTC","1700062790","1700062793","3","36285.129209971"
"SOL","1700063443","1700063444","1","62.62342232"
"SOL","1700063388","1700063389","1","62.59613011"
"BTC","1700063477","1700063480","3","36348.20438638"
"BTC","1700063048","1700063051","3","36270.005"
"SOL","1700063589","1700063591","2","62.33300897"
"BTC","1700063209","1700063210","1","36308.9125"
"ETH","1700063660","1700063665","5","2016.604005935"
"SOL","1700063849","1700063851","2","62.4173"
"SOL","1700063885","1700063889","4","62.38566944"
"SOL","1700063416","1700063418","2","62.72125"
"ETH","1700062958","1700062963","5","2016.3775"
"ETH","1700063781","1700063785","4","2019.8625"
"BTC","1700063323","1700063325","2","36321.475331242"
"SOL","1700063753","1700063757","4","62.3631725"
"ETH","1700063157","1700063160","3","2015.9"
"ETH","1700063750","1700063753","3","2019.84420631"
"BTC","1700063634","1700063635","1","36314.914230769"
"ETH","1700063150","1700063153","3","2015.84107179"
"SOL","1700062761","1700062762","1","62.90730167"
"BTC","1700062883","1700062887","4","36293.395764195"
"BTC","1700063894","1700063895","1","36375.0575"
"BTC","1700064016","1700064021","5","36403.07"
"BTC","1700064184","1700064185","1","36541.02611"
"SOL","1700063103","1700063107","4","62.6809701"
"BTC","1700063609","1700063614","5","36307.06547612"
"BTC","1700063236","1700063238","2","36308.77733526"
"ETH","1700064211","1700064215","4","2024.651767045"
"SOL","1700063181","1700063183","2","62.7306607"
"BTC","1700063851","1700063855","4","36379.09550035"
"ETH","1700064089","1700064097","8","2020.43553"
"SOL","1700064192","1700064198","6","63.071460147"
"ETH","1700063369","1700063373","4","2017.213901965"
"ETH","1700062975","1700062977","2","2016.44625"
"ETH","1700063130","1700063134","4","2015.269999995"
"ETH","1700062915","1700062921","6","2015.477815"
"BTC","1700062615","1700062616","1","36233.991262815"
"BTC","1700062865","1700062869","4","36286.885"
"SOL","1700062767","1700062773","6","62.91"
"SOL","1700064104","1700064105","1","62.61183641"
"BTC","1700063063","1700063064","1","36275"
"BTC","1700063002","1700063004","2","36292.236103733"
"BTC","1700064182","1700064183","1","36531.832666661"
"BTC","1700063731","1700063734","3","36359.4595186"
"SOL","1700064216","1700064219","3","63.05478236"
"SOL","1700062994","1700062996","2","62.69971472"
"BTC","1700063056","1700063062","6","36271.687853105"
"BTC","1700063325","1700063329","4","36321.295"
"SOL","1700063398","1700063399","1","62.63279244"
"BTC","1700062615","1700062616","1","36233.991262815"
"ETH","1700063085","1700063090","5","2014.57105296"
"SOL","1700063102","1700063106","4","62.68450679"
"BTC","1700063483","1700063485","2","36344.35060999"
"BTC","1700063581","1700063582","1","36315.3157215"
"SOL","1700063333","1700063342","9","62.593189135"
"SOL","1700063947","1700063950","3","62.49428043"
"SOL","1700064208","1700064210","2","63.222376645"
"BTC","1700063960","1700063962","2","36399.131369075"
"BTC","1700063048","1700063051","3","36270.005"
"SOL","1700062866","1700062869","3","62.715059245"
"ETH","1700063476","1700063480","4","2019.060805435"
"ETH","1700063563","1700063566","3","2017.540413338"
"SOL","1700062848","1700062851","3","62.81768725"
"ETH","1700063393","1700063395","2","2018.236861133"
"ETH","1700063496","1700063499","3","2019.40607679"
"ETH","1700062970","1700062975","5","2016.4355667"
"ETH","1700063114","1700063117","3","2015.25533304"
"SOL","1700063305","1700063306","1","62.618499142"
"SOL","1700064194","1700064198","4","63.13551468"
"SOL","1700063379","1700063383","4","62.6219125"
"SOL","1700063707","1700063710","3","62.3025"
"SOL","1700062790","1700062794","4","62.928480315"
"ETH","1700063577","1700063578","1","2017.20027565"
"BTC","1700064092","1700064097","5","36435.43432742"
"ETH","1700063412","1700063413","1","2019.52138261"
"BTC","1700064140","1700064142","2","36444.967"
